username,text,sentimen
Ridwan83079388,"*OPERASI YUSTISI  UNTUK PENDISIPLINAN PEMUTUSAN MATA RANTAI PENYEBARAN COVID 19 DAN PEMBAGIAN MASKER*
*DI WILKUM POLSEK TIGA JUHAR KEC. STM HULU.

Personil Polsek Tiga Juhar. melaksanakan Sosialisasi Peraturan Bupati(Perbup) No 77 tahun 2020 dan Penegakan Hukum terkait Penyebaran https://t.co/GAtatakF07",o
Ridwan83079388,"*PENCEGAHAN, PENYEBARAAN VIRUS CORONA DI MAKO POLSEK TIGA JUHAR, dilakukan Penyemprotan Antiseptic di Mako Polsek Tiga Juhar.*

 Penyemprotan cairan antiseptik dalam rangka pencegahan Virus Corona ( Covid 19 )  di Seluruh Ruangan Kerja Polsek Tiga Juhar, Selasa 23/02/2021 https://t.co/SvN0qL2E0k",p
Ridwan83079388,"*OPERASI YUSTISI  UNTUK PENDISIPLINAN PEMUTUSAN MATA RANTAI PENYEBARAN COVID 19 DAN PEMBAGIAN MASKER*
*DI WILKUM POLSEK TIGA JUHAR KEC. STM HULU.

Personil Polsek Tiga Juhar. melaksanakan Sosialisasi Peraturan Bupati(Perbup) No 77 tahun 2020 dan Penegakan Hukum terkait Penyebaran https://t.co/hsm2zgRYpE",p
Ridwan83079388,"*PENCEGAHAN, PENYEBARAAN VIRUS CORONA DI MAKO POLSEK TIGA JUHAR, dilakukan Penyemprotan Antiseptic di Mako Polsek Tiga Juhar.*

 Penyemprotan cairan antiseptik dalam rangka pencegahan Virus Corona ( Covid 19 )  di Seluruh Ruangan Kerja Polsek Tiga Juhar, Senin 22/02/2021 https://t.co/TuLy2yJpGl",p
irzanfajar_,@tsanymu covid kan takut sama presiden weh,n
theiconomic,"Kolaborasi menjadi kunci penting untuk menyelesaikan pandemic Covid-19. Saat memberikan sambutan secara virtual pada International Conference Tackling The Covid-19 Pandemic: Health, Economics, Diplomacy, And Social Perspectives, Selasa (23/2/2021)

https://t.co/083umnSIzL",p
theiconomic,"Pasar Digital (PaDi) UMKM Indonesia Virtual Expo 2021 disebut sebagai bentuk kemitraan usaha mikro, kecil dan menengah (UMKM) dan Kementerian BUMN di masa pandemi Covid-19. 
Selengkapnya 
https://t.co/yLwnbGtRJV",o
CibeberPolsek,"Personil Polsek Cibeber Polres Lebak Brigadir M Taufik Bhabinmas Desa Citorek melaksanakan Program Kapolda Banten""Yuk Ngopi Wae"" Bersama Sdr. Jajang Kepala Desa Citorek Timur Kec. Cibeber Kab. Lebak serta memberikan himbauan Kamtibmas dan sosialisasi pencegahan penularan Covid-19 https://t.co/PukZBH47mj",p
CibeberPolsek,"Personil Polsek Cibeber Polres Lebak Brigadir M Taufik Bhabinkamtibmas Desa Citorek melaksanakan Program Kapolda Banten ""Yuk Ngopi Wae"" Bersama Masyarakat Desa Citorek Kec. Cibeber Kab. Lebak serta memberikan himbauan Kamtibmas dan sosialisasi pencegahan penularan Covid-19 https://t.co/qN7vgjj6od",p
CibeberPolsek,"Lindungi Dirimu dari Covid-19
Dengan selalu pakai masker dan pakai Helm Jika Memakai Kendaraan Sepeda Motor

#pendekarbanten
#bersatulawancovid-19
#humaspolreslebak
#polreslebak https://t.co/iSa78LT46j",p
